taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
2473641;Arborophila davidi Delacour, 1927;2473641;Arborophila davidi Delacour, 1927;226;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Galliformes;723;Phasianidae;9331;Arborophila;2473604;Arborophila davidi;2473641;NT
2473897;Pternistis bicalcaratus (Linnaeus, 1766);2473897;Pternistis bicalcaratus (Linnaeus, 1766);8026;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Galliformes;723;Phasianidae;9331;Pternistis;8128058;Pternistis bicalcaratus;2473897;LC
2475229;Tauraco bannermani (Bates, 1923);2475229;Tauraco bannermani (Bates, 1923);139;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Musophagiformes;1444;Musophagidae;5258;Tauraco;2475224;Tauraco bannermani;2475229;EN
2476612;Phaethornis malaris (Nordmann, 1835);2476612;Phaethornis malaris (Nordmann, 1835);9079;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Phaethornis;2476571;Phaethornis malaris;2476612;LC
2476860;Metallura tyrianthina (Loddiges, 1832);2476860;Metallura tyrianthina (Loddiges, 1832);55003;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Metallura;2476858;Metallura tyrianthina;2476860;LC
2479818;Pyrrhura hoffmanni (Cabanis, 1861);2479818;Pyrrhura hoffmanni (Cabanis, 1861);15159;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Psittaciformes;1445;Psittacidae;9340;Pyrrhura;2479799;Pyrrhura hoffmanni;2479818;LC
2483576;Myiarchus barbirostris (Swainson, 1827);2483576;Myiarchus barbirostris (Swainson, 1827);5744;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Tyrannidae;5291;Myiarchus;2483527;Myiarchus barbirostris;2483576;LC
2486509;Phibalura flavirostris Vieillot, 1816;2486509;Phibalura flavirostris Vieillot, 1816;1863;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Cotingidae;5236;Phibalura;2486508;Phibalura flavirostris;2486509;NT
2486978;Melidectes nouhuysi (van Oort, 1910);10989668;Melionyx nouhuysi (van Oort, 1910);161;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Meliphagidae;9319;Melionyx;4846007;Melionyx nouhuysi;10989668;LC
2487975;Euphonia finschi P.L.Sclater & Salvin, 1877;2487975;Euphonia finschi P.L.Sclater & Salvin, 1877;1263;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Fringillidae;5242;Euphonia;2487948;Euphonia finschi;2487975;LC
2489060;Poeoptera lugubris Bonaparte, 1854;2489060;Poeoptera lugubris Bonaparte, 1854;1551;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Sturnidae;9350;Poeoptera;2489058;Poeoptera lugubris;2489060;LC
2491361;Sporophila leucoptera (Vieillot, 1817);2491361;Sporophila leucoptera (Vieillot, 1817);15169;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Sporophila;2491308;Sporophila leucoptera;2491361;LC
2492478;Cercotrichas galactotes (Temminck, 1820);5788860;Erythropygia galactotes (Temminck, 1820);25462;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Muscicapidae;9322;Erythropygia;4845640;Erythropygia galactotes;5788860;LC
2492834;Cisticola dambo Lynes, 1931;2492834;Cisticola dambo Lynes, 1931;77;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Cisticolidae;9293;Cisticola;2492786;Cisticola dambo;2492834;LC
2492925;Spelaeornis chocolatinus (Godwin-Austen & Walden, 1875);2492925;Spelaeornis chocolatinus (Godwin-Austen & Walden, 1875);203;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Timaliidae;3241609;Spelaeornis;2492922;Spelaeornis chocolatinus;2492925;VU
2493976;Dicrurus modestus Hartlaub, 1849;2493976;Dicrurus modestus Hartlaub, 1849;1413;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Dicruridae;9310;Dicrurus;2493960;Dicrurus modestus;2493976;LC
2494064;Ploceus subpersonatus (Cabanis, 1876);2494064;Ploceus subpersonatus (Cabanis, 1876);54;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Ploceidae;9336;Ploceus;2494008;Ploceus subpersonatus;2494064;VU
2494070;Ploceus melanocephalus (Linnaeus, 1758);2494070;Ploceus melanocephalus (Linnaeus, 1758);18519;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Ploceidae;9336;Ploceus;2494008;Ploceus melanocephalus;2494070;LC
2495581;Ptilinopus jambu (J.F.Gmelin, 1789);2495581;Ptilinopus jambu (J.F.Gmelin, 1789);1225;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Columbiformes;1446;Columbidae;5233;Ptilinopus;2495499;Ptilinopus jambu;2495581;NT
2495865;Columbina picui (Temminck, 1813);2495865;Columbina picui (Temminck, 1813);161923;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Columbiformes;1446;Columbidae;5233;Columbina;2495852;Columbina picui;2495865;LC
4849051;Aglaiocercus berlepschi (Hartert, 1898);4849051;Aglaiocercus berlepschi (Hartert, 1898);171;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Aglaiocercus;2476384;Aglaiocercus berlepschi;4849051;EN
5228500;Mellisuga helenae (Lembeye, 1850);5228500;Mellisuga helenae (Lembeye, 1850);2950;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Mellisuga;2476316;Mellisuga helenae;5228500;NT
5228881;Piculus leucolaemus (Natterer & Malherbe, 1845);5228881;Piculus leucolaemus (Natterer & Malherbe, 1845);2586;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Piciformes;724;Picidae;9333;Piculus;7469263;Piculus leucolaemus;5228881;LC
5229107;Cyanoramphus forbesi Rothschild, 1893;5229107;Cyanoramphus forbesi Rothschild, 1893;294;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Psittaciformes;1445;Psittacidae;9340;Cyanoramphus;8209719;Cyanoramphus forbesi;5229107;VU
5229583;Platyrinchus cancrominus P.L.Sclater & Salvin, 1860;5229583;Platyrinchus cancrominus P.L.Sclater & Salvin, 1860;18835;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Tyrannidae;5291;Platyrinchus;2483053;Platyrinchus cancrominus;5229583;LC
5230925;Saltator orenocensis Lafresnaye, 1846;5230925;Saltator orenocensis Lafresnaye, 1846;4455;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Saltator;5428759;Saltator orenocensis;5230925;LC
5231347;Bradypterus lopezi (Alexander, 1903);5231347;Bradypterus lopezi (Alexander, 1903);1599;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Locustellidae;6100825;Bradypterus;3242162;Bradypterus lopezi;5231347;LC
5231744;Rhipidura diluta Wallace, 1864;5231744;Rhipidura diluta Wallace, 1864;596;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Rhipiduridae;5712;Rhipidura;2495006;Rhipidura diluta;5231744;LC
7757806;Clanga hastata (R.P.Lesson, 1831);5788516;Aquila hastata (Lesson, 1831);11701;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Accipitriformes;7191147;Accipitridae;2877;Aquila;2480498;Aquila hastata;5788516;VU
7949453;Mentocrex beankaensis Goodman, Raherilalao & Block, 2011;7949453;Mentocrex beankaensis Goodman, Raherilalao & Block, 2011;14;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Gruiformes;1493;Sarothruridae;6101149;Mentocrex;4852303;Mentocrex beankaensis;7949453;VU
8311805;Ninox reyi Oustalet, 1880;8311805;Ninox reyi Oustalet, 1880;2;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Strigiformes;1450;Strigidae;9348;Ninox;2497780;Ninox reyi;8311805;VU
9592368;Microspingus cinereus (Bonaparte, 1850);9592368;Microspingus cinereus (Bonaparte, 1850);1401;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Microspingus;4847657;Microspingus cinereus;9592368;LC
9803471;Anous minutus F.Boie, 1844;9803471;Anous minutus F.Boie, 1844;23069;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Charadriiformes;7192402;Laridae;9316;Anous;9630699;Anous minutus;9803471;LC
2477014;Lophornis pavoninus Salvin & Godman, 1882;2477014;Lophornis pavoninus Salvin & Godman, 1882;181;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Lophornis;2476999;Lophornis pavoninus;2477014;LC
2479018;Lybius leucocephalus (de Filippi, 1853);2479018;Lybius leucocephalus (de Filippi, 1853);5221;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Piciformes;724;Lybiidae;4849497;Lybius;2478991;Lybius leucocephalus;2479018;LC
2479378;Loriculus exilis Schlegel, 1866;2479378;Loriculus exilis Schlegel, 1866;320;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Psittaciformes;1445;Psittacidae;9340;Loriculus;2479370;Loriculus exilis;2479378;LC
2479593;Nestor notabilis Gould, 1856;2479593;Nestor notabilis Gould, 1856;8143;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Psittaciformes;1445;Psittacidae;9340;Nestor;9536524;Nestor notabilis;2479593;EN
2480391;Stephanoaetus coronatus (Linnaeus, 1766);2480391;Stephanoaetus coronatus (Linnaeus, 1766);7310;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Accipitriformes;7191147;Accipitridae;2877;Stephanoaetus;2480390;Stephanoaetus coronatus;2480391;NT
2481846;Jacana jacana (Linnaeus, 1766);2481846;Jacana jacana (Linnaeus, 1766);196592;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Charadriiformes;7192402;Jacanidae;9314;Jacana;2481845;Jacana jacana;2481846;LC
2481860;Phalacrocorax varius (Gmelin, 1789);2481860;Phalacrocorax varius (Gmelin, 1789);155812;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Suliformes;7192775;Phalacrocoracidae;5268;Phalacrocorax;2481854;Phalacrocorax varius;2481860;LC
2482606;Falcunculus frontatus (Latham, 1802);2482606;Falcunculus frontatus (Latham, 1802);27127;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Pachycephalidae;3241790;Falcunculus;2482605;Falcunculus frontatus;2482606;LC
2484216;Psarocolius viridis (Statius Muller, 1776);2484216;Psarocolius viridis (Statius Muller, 1776);9200;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Icteridae;6176;Psarocolius;2484215;Psarocolius viridis;2484216;LC
2484615;Vidua larvaticola Payne, 1982;2484615;Vidua larvaticola Payne, 1982;21;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Viduidae;5295;Vidua;2484612;Vidua larvaticola;2484615;LC
2487602;Certhia himalayana Vigors, 1832;2487602;Certhia himalayana Vigors, 1832;15228;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Certhiidae;5227;Certhia;2487601;Certhia himalayana;2487602;LC
2488157;Tangara velia (Linnaeus, 1758);2488157;Tangara velia (Linnaeus, 1758);9163;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Tangara;2488096;Tangara velia;2488157;LC
2488179;Tangara arthus R.Lesson, 1832;2488179;Tangara arthus R.Lesson, 1832;93626;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Tangara;2488096;Tangara arthus;2488179;LC
