Species name;Species code;Data source;n;Predictor;Size class;IUCN category;AUC;BoyceI
Accipiter gentilis;Accgen;Atlas;2254;CLIM;IV;LC;0,82;1
Accipiter gentilis;Accgen;Atlas;2254;CLIM_EFAs;IV;LC;0,84;1
Accipiter gentilis;Accgen;Atlas;2254;EFAs;IV;LC;0,8;1
Accipiter nisus;Accnis;Atlas;2638;CLIM;IV;LC;0,82;0,85
Accipiter nisus;Accnis;Atlas;2638;CLIM_EFAs;IV;LC;0,82;0,98
Accipiter nisus;Accnis;Atlas;2638;EFAs;IV;LC;0,82;0,99
Acrocephalus arundinaceus;Acraru;Atlas;1516;CLIM;IV;LC;0,86;0,91
Acrocephalus arundinaceus;Acraru;Atlas;1516;CLIM_EFAs;IV;LC;0,83;1
Acrocephalus arundinaceus;Acraru;Atlas;1516;EFAs;IV;LC;0,8;0,89
Acrocephalus melanopogon;Acrmel;Atlas;82;CLIM;I;LC;0,96;0,88
Acrocephalus melanopogon;Acrmel;Atlas;82;CLIM_EFAs;I;LC;0,94;0,77
Acrocephalus melanopogon;Acrmel;Atlas;82;EFAs;I;LC;0,87;0,49
Acrocephalus schoenobaenus;Acrsch;Atlas;26;CLIM;I;LC;0,96;-0,03
Acrocephalus schoenobaenus;Acrsch;Atlas;26;CLIM_EFAs;I;LC;0,95;-0,66
Acrocephalus schoenobaenus;Acrsch;Atlas;26;EFAs;I;LC;1;-0,55
Acrocephalus scirpaceus;Acrsci;Atlas;1796;CLIM;IV;LC;0,84;0,89
Acrocephalus scirpaceus;Acrsci;Atlas;1796;CLIM_EFAs;IV;LC;0,82;0,82
Acrocephalus scirpaceus;Acrsci;Atlas;1796;EFAs;IV;LC;0,81;0,84
Actitis hypoleucos;Acthyp;Atlas;1330;CLIM;IV;LC;0,95;0,68
Actitis hypoleucos;Acthyp;Atlas;1330;CLIM_EFAs;IV;LC;0,99;0,76
Actitis hypoleucos;Acthyp;Atlas;1330;EFAs;IV;LC;1;0,55
Aegithalos caudatus;Aegcau;Atlas;4484;CLIM;IV;LC;0,85;1
Aegithalos caudatus;Aegcau;Atlas;4484;CLIM_EFAs;IV;LC;0,85;1
Aegithalos caudatus;Aegcau;Atlas;4484;EFAs;IV;LC;0,84;0,99
Aegolius funereus;Aegfun;Atlas;54;CLIM;I;LC;1;0,76
Aegolius funereus;Aegfun;Atlas;54;CLIM_EFAs;I;LC;0,99;0,81
Aegolius funereus;Aegfun;Atlas;54;EFAs;I;LC;0,99;0,89
Aegypius monachus;Aegmon;Atlas;231;CLIM;II;LC;0,94;0,96
Aegypius monachus;Aegmon;Atlas;231;CLIM_EFAs;II;LC;0,95;0,92
Aegypius monachus;Aegmon;Atlas;231;EFAs;II;LC;0,88;0,76
Alauda arvensis;Alaarv;Atlas;3223;CLIM;IV;LC;0,89;0,91
Alauda arvensis;Alaarv;Atlas;3223;CLIM_EFAs;IV;LC;0,87;0,95
Alauda arvensis;Alaarv;Atlas;3223;EFAs;IV;LC;0,85;0,9
Alcedo atthis;Alcatt;Atlas;2316;CLIM;IV;VU;0,9;0,79
Alcedo atthis;Alcatt;Atlas;2316;CLIM_EFAs;IV;VU;0,86;0,81
Alcedo atthis;Alcatt;Atlas;2316;EFAs;IV;VU;0,78;0,78
Alectoris rufa;Aleruf;Atlas;5358;CLIM;IV;LC;0,9;1
Alectoris rufa;Aleruf;Atlas;5358;CLIM_EFAs;IV;LC;0,89;0,98
Alectoris rufa;Aleruf;Atlas;5358;EFAs;IV;LC;0,86;0,83
Anas acuta;Anaacu;Atlas;15;CLIM;I;LC;0,99;-0,74
Anas acuta;Anaacu;Atlas;15;CLIM_EFAs;I;LC;0,99;-0,88
Anas acuta;Anaacu;Atlas;15;EFAs;I;LC;0,97;-0,58
Anas clypeata;Anacly;Atlas;168;CLIM;II;LC;0,87;0,17
Anas clypeata;Anacly;Atlas;168;CLIM_EFAs;II;LC;0,88;0,2
Anas clypeata;Anacly;Atlas;168;EFAs;II;LC;0,82;0,24
Anas crecca;Anacre;Atlas;42;CLIM;I;LC;0,98;-0,34
Anas crecca;Anacre;Atlas;42;CLIM_EFAs;I;LC;1;-0,29
