iso;year;tree_cover_loss_(ha);gross_emissions_CO2_(Mg)
IND;2001;5541,942059;3322413,282
IND;2002;11717,80559;6367698,402
IND;2003;10845,98158;5793473,503
IND;2004;19166,08648;10514030,86
IND;2005;15147,70268;8302918,949
IND;2006;15125,48558;8131482,53
IND;2007;17208,14903;9327855,331
IND;2008;20701,87684;11083749,95
IND;2009;17112,14613;9210673,298
IND;2010;11360,5282;6262197,491
IND;2011;16286,66704;8849741,866
IND;2012;18804,31468;10261413,05
IND;2013;14398,72645;7815386,647
IND;2014;21941,68361;11795089,61
IND;2015;20996,62556;11541474,97
IND;2016;30936,04739;17299348,6
IND;2017;29563,2694;16479302,25
IND;2018;19309,97629;10526187,63
IND;2019;17347,49352;9653825,9
IND;2020;20809,32173;11411645,16
IND;2021;22037,66113;12271920,47
IND;2022;21838,98352;12312124,87
